course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
EE1005,Kỹ thuật điện,EE,,3,150,30,30,0,0,0,0,LECTURE,EE1006,GENERAL,1.0
EE1009,Kỹ thuật số,EE,,3,150,30,0,30,0,0,0,LECTURE,EE1010,GENERAL,1.0
EE1025,Nhập môn Về kỹ Thuật,EE,,3,150,30,0,30,0,0,0,LECTURE,EE1026,GENERAL,1.0
EE2003,Trường điện từ,EE,,3,150,30,24,0,0,9,0,LECTURE,EE2004,GENERAL,1.0
EE2005,Tín hiệu và Hệ thống,EE,,3,150,30,24,0,0,9,0,LECTURE,EE2006,GENERAL,1.0
EE2009,Hệ thống Máy tính và Ngô,EE,,3,150,30,0,30,0,0,0,LECTURE,EE2010,GENERAL,1.0
EE2011,Kỹ thuật Điện - Điện tử,EE,,3,150,30,30,0,0,0,0,LECTURE,EE2012,GENERAL,1.0
EE2015,Xử lý số Tín hiệu,EE,,3,150,30,0,20,0,15,0,LECTURE,EE2016,GENERAL,1.0
EE2019,Cơ sở Điều khiển Tự động,EE,,3,150,30,0,20,0,15,0,LECTURE,EE2020,GENERAL,1.0
EE2021,Cơ sở Điện tử Công suất,EE,,3,150,30,0,15,0,23,0,LECTURE,EE2022,GENERAL,1.0
